species,size,fragrance,height_cm,petal_length,petal_width,sepal_length,sepal_width
shoeblack plant,medium,none,81.42,4.071,3.2568,56.994,24.426
rose,medium,strong,38.55,1.9275,1.542,26.985,11.565
rose,small,mild,99.24,4.962,3.9696,69.468,29.772
rose,small,strong,76.23,3.8115,3.0492,53.361,22.869
shoeblack plant,large,none,131.5,6.575,5.26,92.05,39.45
hibiscus,large,none,184.04,9.202,7.3616,128.828,55.212
rose,medium,mild,39,1.95,1.56,27.3,11.7
shoeblack plant,large,mild,143.01,7.1505,5.7204,100.107,42.903
shoeblack plant,medium,none,138.86,6.943,5.5544,97.202,41.658
shoeblack plant,medium,none,140.72,7.036,5.6288,98.504,42.216
rose,small,mild,41.13,2.0565,1.6452,28.791,12.339
shoeblack plant,medium,mild,56.51,2.8255,2.2604,39.557,16.953
rose,small,mild,60.78,3.039,2.4312,42.546,18.234
hibiscus,large,none,165.83,8.2915,6.6332,116.081,49.749
shoeblack plant,large,mild,60.31,3.0155,2.4124,42.217,18.093
hibiscus,large,none,129.82,6.491,5.1928,90.874,38.946
shoeblack plant,medium,mild,57.11,2.8555,2.2844,39.977,17.133
rose,small,strong,53.11,2.6555,2.1244,37.177,15.933
shoeblack plant,medium,none,115.81,5.7905,4.6324,81.067,34.743
shoeblack plant,large,mild,121.78,6.089,4.8712,85.246,36.534
shoeblack plant,large,mild,135.3,6.765,5.412,94.71,40.59
hibiscus,large,none,177.77,8.8885,7.1108,124.439,53.331
shoeblack plant,large,none,112.75,5.6375,4.51,78.925,33.825
hibiscus,large,none,140.01,7.0005,5.6004,98.007,42.003
hibiscus,large,none,122.6,6.13,4.904,85.82,36.78
rose,medium,mild,49.87,2.4935,1.9948,34.909,14.961
hibiscus,large,none,168.52,8.426,6.7408,117.964,50.556
rose,small,mild,68.76,3.438,2.7504,48.132,20.628
hibiscus,large,none,138.52,6.926,5.5408,96.964,41.556
shoeblack plant,medium,mild,101.15,5.0575,4.046,70.805,30.345
rose,small,strong,32.45,1.6225,1.298,22.715,9.735
shoeblack plant,large,mild,131.44,6.572,5.2576,92.008,39.432
rose,small,strong,75.56,3.778,3.0224,52.892,22.668
shoeblack plant,large,none,147.81,7.3905,5.9124,103.467,44.343
hibiscus,large,none,151.75,7.5875,6.07,106.225,45.525
rose,small,mild,30.27,1.5135,1.2108,21.189,9.081
shoeblack plant,large,mild,51.53,2.5765,2.0612,36.071,15.459
hibiscus,large,none,143.8,7.19,5.752,100.66,43.14
shoeblack plant,large,mild,139.18,6.959,5.5672,97.426,41.754
shoeblack plant,medium,none,104.31,5.2155,4.1724,73.017,31.293
hibiscus,large,none,153.32,7.666,6.1328,107.324,45.996
shoeblack plant,large,mild,124.37,6.2185,4.9748,87.059,37.311
rose,small,mild,62.18,3.109,2.4872,43.526,18.654
rose,medium,mild,79.04,3.952,3.1616,55.328,23.712
hibiscus,large,none,100.52,5.026,4.0208,70.364,30.156
rose,small,mild,55.06,2.753,2.2024,38.542,16.518
hibiscus,large,none,151.76,7.588,6.0704,106.232,45.528
shoeblack plant,large,none,55.47,2.7735,2.2188,38.829,16.641
hibiscus,large,none,181.66,9.083,7.2664,127.162,54.498
rose,small,mild,77.44,3.872,3.0976,54.208,23.232
shoeblack plant,medium,none,69.9,3.495,2.796,48.93,20.97
shoeblack plant,medium,none,79.26,3.963,3.1704,55.482,23.778
hibiscus,large,none,168.83,8.4415,6.7532,118.181,50.649
shoeblack plant,medium,mild,96.99,4.8495,3.8796,67.893,29.097
hibiscus,large,none,101.4,5.07,4.056,70.98,30.42
rose,medium,mild,35.27,1.7635,1.4108,24.689,10.581
shoeblack plant,medium,none,86.45,4.3225,3.458,60.515,25.935
shoeblack plant,medium,mild,81.34,4.067,3.2536,56.938,24.402
rose,medium,mild,68.41,3.4205,2.7364,47.887,20.523
hibiscus,large,none,193.2,9.66,7.728,135.24,57.96
shoeblack plant,medium,none,60.7,3.035,2.428,42.49,18.21
rose,small,mild,98.07,4.9035,3.9228,68.649,29.421
shoeblack plant,medium,none,116.79,5.8395,4.6716,81.753,35.037
shoeblack plant,medium,none,121.08,6.054,4.8432,84.756,36.324
rose,small,mild,33.39,1.6695,1.3356,23.373,10.017
rose,small,strong,65.26,3.263,2.6104,45.682,19.578
hibiscus,large,none,110.34,5.517,4.4136,77.238,33.102
rose,medium,mild,75.32,3.766,3.0128,52.724,22.596
rose,medium,strong,90.5,4.525,3.62,63.35,27.15
shoeblack plant,medium,mild,69.13,3.4565,2.7652,48.391,20.739
rose,small,strong,92.65,4.6325,3.706,64.855,27.795
rose,small,strong,55.91,2.7955,2.2364,39.137,16.773
rose,small,mild,66.14,3.307,2.6456,46.298,19.842
rose,small,strong,76.54,3.827,3.0616,53.578,22.962
shoeblack plant,medium,mild,120.92,6.046,4.8368,84.644,36.276
shoeblack plant,large,none,50.92,2.546,2.0368,35.644,15.276
rose,medium,mild,93.83,4.6915,3.7532,65.681,28.149
rose,small,strong,94.56,4.728,3.7824,66.192,28.368
shoeblack plant,medium,none,114.57,5.7285,4.5828,80.199,34.371
hibiscus,large,none,127.19,6.3595,5.0876,89.033,38.157
shoeblack plant,large,mild,64.47,3.2235,2.5788,45.129,19.341
shoeblack plant,medium,mild,95.49,4.7745,3.8196,66.843,28.647
hibiscus,large,none,120.77,6.0385,4.8308,84.539,36.231
hibiscus,large,none,128.54,6.427,5.1416,89.978,38.562
hibiscus,large,none,132.09,6.6045,5.2836,92.463,39.627
rose,small,strong,95.33,4.7665,3.8132,66.731,28.599
hibiscus,large,none,110.76,5.538,4.4304,77.532,33.228
rose,small,mild,60.73,3.0365,2.4292,42.511,18.219
rose,small,mild,99.28,4.964,3.9712,69.496,29.784
hibiscus,large,none,144.35,7.2175,5.774,101.045,43.305
rose,small,strong,82.49,4.1245,3.2996,57.743,24.747
rose,medium,mild,67.13,3.3565,2.6852,46.991,20.139
rose,small,mild,66.31,3.3155,2.6524,46.417,19.893
rose,medium,mild,55.71,2.7855,2.2284,38.997,16.713
hibiscus,large,none,164.73,8.2365,6.5892,115.311,49.419
rose,small,mild,99.61,4.9805,3.9844,69.727,29.883
shoeblack plant,large,none,111.36,5.568,4.4544,77.952,33.408
hibiscus,large,none,158.8,7.94,6.352,111.16,47.64
hibiscus,large,none,110.93,5.5465,4.4372,77.651,33.279
hibiscus,large,none,182.66,9.133,7.3064,127.862,54.798
shoeblack plant,medium,none,92.65,4.6325,3.706,64.855,27.795
rose,small,strong,88.31,4.4155,3.5324,61.817,26.493
shoeblack plant,large,none,121.93,6.0965,4.8772,85.351,36.579
hibiscus,large,none,118.95,5.9475,4.758,83.265,35.685
shoeblack plant,large,none,82.36,4.118,3.2944,57.652,24.708
rose,small,strong,90.21,4.5105,3.6084,63.147,27.063
hibiscus,large,none,196.45,9.8225,7.858,137.515,58.935
shoeblack plant,medium,mild,93.7,4.685,3.748,65.59,28.11
hibiscus,large,none,157.54,7.877,6.3016,110.278,47.262
rose,small,mild,71.1,3.555,2.844,49.77,21.33
shoeblack plant,large,mild,57.5,2.875,2.3,40.25,17.25
shoeblack plant,medium,none,139.54,6.977,5.5816,97.678,41.862
hibiscus,large,none,141.12,7.056,5.6448,98.784,42.336
hibiscus,large,none,170.25,8.5125,6.81,119.175,51.075
shoeblack plant,medium,mild,54.89,2.7445,2.1956,38.423,16.467
hibiscus,large,none,119.27,5.9635,4.7708,83.489,35.781
hibiscus,large,none,134.18,6.709,5.3672,93.926,40.254
hibiscus,large,none,165.33,8.2665,6.6132,115.731,49.599
hibiscus,large,none,184.38,9.219,7.3752,129.066,55.314
rose,small,mild,55.48,2.774,2.2192,38.836,16.644
shoeblack plant,large,none,80.51,4.0255,3.2204,56.357,24.153
shoeblack plant,medium,mild,68.32,3.416,2.7328,47.824,20.496
shoeblack plant,large,mild,83.59,4.1795,3.3436,58.513,25.077
hibiscus,large,none,121.1,6.055,4.844,84.77,36.33
shoeblack plant,medium,mild,120.47,6.0235,4.8188,84.329,36.141
shoeblack plant,medium,none,105.05,5.2525,4.202,73.535,31.515
shoeblack plant,medium,mild,74.19,3.7095,2.9676,51.933,22.257
shoeblack plant,large,none,113.59,5.6795,4.5436,79.513,34.077
shoeblack plant,large,mild,135.36,6.768,5.4144,94.752,40.608
hibiscus,large,none,184.2,9.21,7.368,128.94,55.26
rose,small,mild,76.16,3.808,3.0464,53.312,22.848
hibiscus,large,none,186.48,9.324,7.4592,130.536,55.944
rose,medium,mild,87.7,4.385,3.508,61.39,26.31
shoeblack plant,medium,mild,110.95,5.5475,4.438,77.665,33.285
hibiscus,large,none,166.3,8.315,6.652,116.41,49.89
hibiscus,large,none,169.31,8.4655,6.7724,118.517,50.793
hibiscus,large,none,138.49,6.9245,5.5396,96.943,41.547
rose,medium,strong,45.38,2.269,1.8152,31.766,13.614
hibiscus,large,none,182.82,9.141,7.3128,127.974,54.846
rose,small,mild,39.67,1.9835,1.5868,27.769,11.901
rose,small,mild,40.58,2.029,1.6232,28.406,12.174
shoeblack plant,large,mild,133.69,6.6845,5.3476,93.583,40.107
shoeblack plant,medium,mild,60.59,3.0295,2.4236,42.413,18.177
rose,medium,strong,39.04,1.952,1.5616,27.328,11.712
shoeblack plant,large,none,138.41,6.9205,5.5364,96.887,41.523
shoeblack plant,medium,mild,140.19,7.0095,5.6076,98.133,42.057
hibiscus,large,none,116.33,5.8165,4.6532,81.431,34.899
shoeblack plant,large,mild,84.32,4.216,3.3728,59.024,25.296
hibiscus,large,none,149.27,7.4635,5.9708,104.489,44.781
shoeblack plant,medium,none,135.21,6.7605,5.4084,94.647,40.563
shoeblack plant,medium,mild,63.36,3.168,2.5344,44.352,19.008
shoeblack plant,large,mild,120.62,6.031,4.8248,84.434,36.186
rose,medium,strong,49.2,2.46,1.968,34.44,14.76
rose,medium,strong,56.04,2.802,2.2416,39.228,16.812
rose,small,mild,45.38,2.269,1.8152,31.766,13.614
hibiscus,large,none,185.09,9.2545,7.4036,129.563,55.527
rose,medium,strong,92.72,4.636,3.7088,64.904,27.816
shoeblack plant,medium,none,143.49,7.1745,5.7396,100.443,43.047
hibiscus,large,none,161.18,8.059,6.4472,112.826,48.354
rose,medium,mild,100,5,4,70,30
hibiscus,large,none,106.25,5.3125,4.25,74.375,31.875
rose,small,strong,30.16,1.508,1.2064,21.112,9.048
hibiscus,large,none,165.23,8.2615,6.6092,115.661,49.569
shoeblack plant,large,none,75.3,3.765,3.012,52.71,22.59
shoeblack plant,medium,mild,87.56,4.378,3.5024,61.292,26.268
rose,small,strong,32.48,1.624,1.2992,22.736,9.744
hibiscus,large,none,188.64,9.432,7.5456,132.048,56.592
rose,medium,strong,38.32,1.916,1.5328,26.824,11.496
shoeblack plant,large,none,129.93,6.4965,5.1972,90.951,38.979
hibiscus,large,none,159.19,7.9595,6.3676,111.433,47.757
rose,small,strong,97.02,4.851,3.8808,67.914,29.106
shoeblack plant,medium,none,148.82,7.441,5.9528,104.174,44.646
hibiscus,large,none,125.84,6.292,5.0336,88.088,37.752
rose,small,strong,30.58,1.529,1.2232,21.406,9.174
hibiscus,large,none,162.08,8.104,6.4832,113.456,48.624
shoeblack plant,medium,none,70.62,3.531,2.8248,49.434,21.186
hibiscus,large,none,120.33,6.0165,4.8132,84.231,36.099
rose,small,strong,93.58,4.679,3.7432,65.506,28.074
hibiscus,large,none,182.55,9.1275,7.302,127.785,54.765
rose,medium,mild,71.93,3.5965,2.8772,50.351,21.579
shoeblack plant,medium,mild,106.5,5.325,4.26,74.55,31.95
rose,medium,strong,91.75,4.5875,3.67,64.225,27.525
hibiscus,large,none,173.2,8.66,6.928,121.24,51.96
shoeblack plant,medium,mild,145.27,7.2635,5.8108,101.689,43.581
hibiscus,large,none,105.9,5.295,4.236,74.13,31.77
hibiscus,large,none,135.72,6.786,5.4288,95.004,40.716
shoeblack plant,medium,mild,85.92,4.296,3.4368,60.144,25.776
hibiscus,large,none,111.73,5.5865,4.4692,78.211,33.519
shoeblack plant,large,mild,78.31,3.9155,3.1324,54.817,23.493
shoeblack plant,large,mild,147.24,7.362,5.8896,103.068,44.172
hibiscus,large,none,106.08,5.304,4.2432,74.256,31.824
shoeblack plant,large,none,123.89,6.1945,4.9556,86.723,37.167
rose,medium,mild,69.12,3.456,2.7648,48.384,20.736
hibiscus,large,none,167.97,8.3985,6.7188,117.579,50.391
shoeblack plant,large,mild,82.27,4.1135,3.2908,57.589,24.681
hibiscus,large,none,177.82,8.891,7.1128,124.474,53.346
rose,small,mild,56.45,2.8225,2.258,39.515,16.935
shoeblack plant,large,mild,93.9,4.695,3.756,65.73,28.17
hibiscus,large,none,166.6,8.33,6.664,116.62,49.98
hibiscus,large,none,176.71,8.8355,7.0684,123.697,53.013
shoeblack plant,large,none,78.87,3.9435,3.1548,55.209,23.661
shoeblack plant,medium,mild,103.06,5.153,4.1224,72.142,30.918
shoeblack plant,medium,none,68.34,3.417,2.7336,47.838,20.502
hibiscus,large,none,108.35,5.4175,4.334,75.845,32.505
shoeblack plant,large,mild,70.01,3.5005,2.8004,49.007,21.003
shoeblack plant,large,mild,62.15,3.1075,2.486,43.505,18.645
shoeblack plant,large,none,127.62,6.381,5.1048,89.334,38.286
shoeblack plant,medium,mild,143.8,7.19,5.752,100.66,43.14
hibiscus,large,none,144.72,7.236,5.7888,101.304,43.416
shoeblack plant,large,none,131.17,6.5585,5.2468,91.819,39.351
hibiscus,large,none,173.53,8.6765,6.9412,121.471,52.059
hibiscus,large,none,125.76,6.288,5.0304,88.032,37.728
rose,small,mild,88.01,4.4005,3.5204,61.607,26.403
shoeblack plant,large,mild,147.82,7.391,5.9128,103.474,44.346
hibiscus,large,none,166.22,8.311,6.6488,116.354,49.866
shoeblack plant,large,none,89.62,4.481,3.5848,62.734,26.886
hibiscus,large,none,146.15,7.3075,5.846,102.305,43.845
hibiscus,large,none,165.21,8.2605,6.6084,115.647,49.563
rose,small,mild,83.05,4.1525,3.322,58.135,24.915
shoeblack plant,medium,none,133.7,6.685,5.348,93.59,40.11
rose,small,mild,30.52,1.526,1.2208,21.364,9.156
rose,medium,strong,92.49,4.6245,3.6996,64.743,27.747
shoeblack plant,large,none,87.51,4.3755,3.5004,61.257,26.253
hibiscus,large,none,102.03,5.1015,4.0812,71.421,30.609
shoeblack plant,large,mild,135.35,6.7675,5.414,94.745,40.605
shoeblack plant,large,none,103.53,5.1765,4.1412,72.471,31.059
rose,small,strong,62.48,3.124,2.4992,43.736,18.744
hibiscus,large,none,152.72,7.636,6.1088,106.904,45.816
hibiscus,large,none,195.76,9.788,7.8304,137.032,58.728
shoeblack plant,large,none,118.69,5.9345,4.7476,83.083,35.607
rose,small,strong,97.64,4.882,3.9056,68.348,29.292
rose,small,strong,56.75,2.8375,2.27,39.725,17.025
rose,medium,strong,89,4.45,3.56,62.3,26.7
rose,small,strong,72.44,3.622,2.8976,50.708,21.732
shoeblack plant,medium,none,149.8,7.49,5.992,104.86,44.94
hibiscus,large,none,142.33,7.1165,5.6932,99.631,42.699
rose,small,mild,92.86,4.643,3.7144,65.002,27.858
hibiscus,large,none,195.52,9.776,7.8208,136.864,58.656
rose,medium,mild,81.26,4.063,3.2504,56.882,24.378
hibiscus,large,none,176.06,8.803,7.0424,123.242,52.818
shoeblack plant,medium,mild,81.68,4.084,3.2672,57.176,24.504
shoeblack plant,large,none,148.48,7.424,5.9392,103.936,44.544
shoeblack plant,large,none,71.9,3.595,2.876,50.33,21.57
rose,medium,mild,98.22,4.911,3.9288,68.754,29.466
rose,small,mild,48.81,2.4405,1.9524,34.167,14.643
hibiscus,large,none,143.49,7.1745,5.7396,100.443,43.047
hibiscus,large,none,120.43,6.0215,4.8172,84.301,36.129
hibiscus,large,none,107.8,5.39,4.312,75.46,32.34
shoeblack plant,large,mild,142.35,7.1175,5.694,99.645,42.705
rose,small,mild,73.49,3.6745,2.9396,51.443,22.047
hibiscus,large,none,174.55,8.7275,6.982,122.185,52.365
shoeblack plant,medium,none,61.04,3.052,2.4416,42.728,18.312
hibiscus,large,none,110.78,5.539,4.4312,77.546,33.234
hibiscus,large,none,148.2,7.41,5.928,103.74,44.46
rose,medium,mild,44.51,2.2255,1.7804,31.157,13.353
shoeblack plant,large,none,149.24,7.462,5.9696,104.468,44.772
shoeblack plant,large,none,50.96,2.548,2.0384,35.672,15.288
hibiscus,large,none,194.21,9.7105,7.7684,135.947,58.263
rose,small,strong,54.04,2.702,2.1616,37.828,16.212
rose,medium,strong,45.12,2.256,1.8048,31.584,13.536
rose,small,strong,46.17,2.3085,1.8468,32.319,13.851
shoeblack plant,large,none,66.64,3.332,2.6656,46.648,19.992
hibiscus,large,none,169.81,8.4905,6.7924,118.867,50.943
hibiscus,large,none,144.35,7.2175,5.774,101.045,43.305
rose,small,mild,91.2,4.56,3.648,63.84,27.36
rose,medium,strong,64.84,3.242,2.5936,45.388,19.452
shoeblack plant,large,mild,104.6,5.23,4.184,73.22,31.38
rose,small,mild,89.96,4.498,3.5984,62.972,26.988
shoeblack plant,large,mild,119.31,5.9655,4.7724,83.517,35.793
hibiscus,large,none,108.1,5.405,4.324,75.67,32.43
rose,medium,mild,79.2,3.96,3.168,55.44,23.76
rose,medium,mild,62.92,3.146,2.5168,44.044,18.876
hibiscus,large,none,167.28,8.364,6.6912,117.096,50.184
rose,medium,strong,82.63,4.1315,3.3052,57.841,24.789
rose,medium,strong,72.46,3.623,2.8984,50.722,21.738
rose,medium,strong,38.52,1.926,1.5408,26.964,11.556
hibiscus,large,none,105.22,5.261,4.2088,73.654,31.566
rose,medium,mild,81.16,4.058,3.2464,56.812,24.348
shoeblack plant,medium,none,60.82,3.041,2.4328,42.574,18.246
rose,small,strong,80.25,4.0125,3.21,56.175,24.075
shoeblack plant,large,mild,95.03,4.7515,3.8012,66.521,28.509
rose,medium,mild,34.46,1.723,1.3784,24.122,10.338
hibiscus,large,none,128.78,6.439,5.1512,90.146,38.634
shoeblack plant,medium,mild,94.81,4.7405,3.7924,66.367,28.443
shoeblack plant,medium,mild,86.56,4.328,3.4624,60.592,25.968
shoeblack plant,large,mild,97.17,4.8585,3.8868,68.019,29.151
rose,medium,strong,99.75,4.9875,3.99,69.825,29.925
rose,medium,strong,42.91,2.1455,1.7164,30.037,12.873
shoeblack plant,large,mild,145.82,7.291,5.8328,102.074,43.746
shoeblack plant,medium,mild,62.81,3.1405,2.5124,43.967,18.843
rose,small,mild,62,3.1,2.48,43.4,18.6
hibiscus,large,none,168.62,8.431,6.7448,118.034,50.586
rose,medium,mild,66.13,3.3065,2.6452,46.291,19.839
shoeblack plant,large,mild,70.96,3.548,2.8384,49.672,21.288
hibiscus,large,none,168.76,8.438,6.7504,118.132,50.628
rose,small,strong,68.95,3.4475,2.758,48.265,20.685
rose,medium,mild,34.34,1.717,1.3736,24.038,10.302
shoeblack plant,large,mild,105.55,5.2775,4.222,73.885,31.665
shoeblack plant,large,none,57.33,2.8665,2.2932,40.131,17.199
rose,medium,strong,78.98,3.949,3.1592,55.286,23.694
shoeblack plant,large,none,62.55,3.1275,2.502,43.785,18.765
hibiscus,large,none,181.03,9.0515,7.2412,126.721,54.309
rose,medium,strong,57.58,2.879,2.3032,40.306,17.274
hibiscus,large,none,131.4,6.57,5.256,91.98,39.42
hibiscus,large,none,182.37,9.1185,7.2948,127.659,54.711
hibiscus,large,none,180.86,9.043,7.2344,126.602,54.258
rose,small,strong,56.84,2.842,2.2736,39.788,17.052
hibiscus,large,none,178.06,8.903,7.1224,124.642,53.418
rose,medium,strong,99.33,4.9665,3.9732,69.531,29.799
rose,small,strong,69.37,3.4685,2.7748,48.559,20.811
rose,small,mild,48.03,2.4015,1.9212,33.621,14.409
shoeblack plant,medium,mild,129.13,6.4565,5.1652,90.391,38.739
rose,medium,mild,65.51,3.2755,2.6204,45.857,19.653
rose,medium,strong,78.18,3.909,3.1272,54.726,23.454
rose,medium,strong,78.84,3.942,3.1536,55.188,23.652
hibiscus,large,none,126.08,6.304,5.0432,88.256,37.824
rose,medium,mild,45.67,2.2835,1.8268,31.969,13.701
hibiscus,large,none,114.5,5.725,4.58,80.15,34.35
hibiscus,large,none,157.88,7.894,6.3152,110.516,47.364
rose,small,strong,32.48,1.624,1.2992,22.736,9.744
shoeblack plant,medium,none,141.79,7.0895,5.6716,99.253,42.537
hibiscus,large,none,115.83,5.7915,4.6332,81.081,34.749
hibiscus,large,none,189.37,9.4685,7.5748,132.559,56.811
rose,small,mild,47.8,2.39,1.912,33.46,14.34
hibiscus,large,none,157.01,7.8505,6.2804,109.907,47.103
shoeblack plant,medium,mild,78.14,3.907,3.1256,54.698,23.442
rose,medium,strong,62.5,3.125,2.5,43.75,18.75
hibiscus,large,none,131.84,6.592,5.2736,92.288,39.552
rose,small,mild,72.79,3.6395,2.9116,50.953,21.837
shoeblack plant,large,none,142.98,7.149,5.7192,100.086,42.894
shoeblack plant,large,mild,95.56,4.778,3.8224,66.892,28.668
shoeblack plant,medium,none,113.42,5.671,4.5368,79.394,34.026
hibiscus,large,none,178.63,8.9315,7.1452,125.041,53.589
hibiscus,large,none,103.53,5.1765,4.1412,72.471,31.059
hibiscus,large,none,118.8,5.94,4.752,83.16,35.64
shoeblack plant,large,mild,100.45,5.0225,4.018,70.315,30.135
shoeblack plant,large,none,147.99,7.3995,5.9196,103.593,44.397
hibiscus,large,none,122.35,6.1175,4.894,85.645,36.705
hibiscus,large,none,155.23,7.7615,6.2092,108.661,46.569
rose,medium,strong,63.03,3.1515,2.5212,44.121,18.909
hibiscus,large,none,130.98,6.549,5.2392,91.686,39.294
shoeblack plant,medium,mild,103.59,5.1795,4.1436,72.513,31.077
rose,small,strong,76.88,3.844,3.0752,53.816,23.064
shoeblack plant,medium,mild,135.17,6.7585,5.4068,94.619,40.551
